"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/GSM8k__MAX"
"0","0.011372251705837756","0.011372251705837756","0.011372251705837756","0.003032600454890068","0.003032600454890068","0.003032600454890068","0.008339651250947688","0.008339651250947688","0.008339651250947688","0.009855951478392721","0.009855951478392721","0.009855951478392721"
"4","0.03790750568612585","0.03790750568612585","0.03790750568612585","0.019711902956785442","0.019711902956785442","0.019711902956785442","0.022744503411675512","0.022744503411675512","0.022744503411675512","0.030326004548900682","0.030326004548900682","0.030326004548900682"
"8","0.37452615617892343","0.37452615617892343","0.37452615617892343","0.42380591357088704","0.42380591357088704","0.42380591357088704","0.2979529946929492","0.2979529946929492","0.2979529946929492","0.400303260045489","0.400303260045489","0.400303260045489"
"12","0.5868081880212282","0.5868081880212282","0.5868081880212282","0.6300227445034117","0.6300227445034117","0.6300227445034117","0.5648218347232752","0.5648218347232752","0.5648218347232752","0.6444275966641395","0.6444275966641395","0.6444275966641395"
"16","0.6800606520090978","0.6800606520090978","0.6800606520090978","0.6618650492797574","0.6618650492797574","0.6618650492797574","0.6565579984836998","0.6565579984836998","0.6565579984836998","0.7081122062168309","0.7081122062168309","0.7081122062168309"
"20","0.7179681576952237","0.7179681576952237","0.7179681576952237","0.6830932524639879","0.6830932524639879","0.6830932524639879","0.689158453373768","0.689158453373768","0.689158453373768","0.7270659590598939","0.7270659590598939","0.7270659590598939"
"24","0.7012888551933283","0.7012888551933283","0.7012888551933283","0.7065959059893859","0.7065959059893859","0.7065959059893859","0.6808188021228203","0.6808188021228203","0.6808188021228203","0.7422289613343442","0.7422289613343442","0.7422289613343442"
"28","0.7255496588324488","0.7255496588324488","0.7255496588324488","0.7058377558756633","0.7058377558756633","0.7058377558756633","0.6997725549658832","0.6997725549658832","0.6997725549658832","0.7475360121304018","0.7475360121304018","0.7475360121304018"
"32","0.7384382107657316","0.7384382107657316","0.7384382107657316","0.7278241091736164","0.7278241091736164","0.7278241091736164","0.7088703563305534","0.7088703563305534","0.7088703563305534","0.7687642153146323","0.7687642153146323","0.7687642153146323"
"36","0.7581501137225171","0.7581501137225171","0.7581501137225171","0.7255496588324488","0.7255496588324488","0.7255496588324488","0.7103866565579985","0.7103866565579985","0.7103866565579985","0.7733131159969674","0.7733131159969674","0.7733131159969674"
