"Step","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/OlympiadBench","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/OlympiadBench","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/OlympiadBench","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/OlympiadBench__MAX"
"0","0.05943536404160475","0.05943536404160475","0.05943536404160475","0.019316493313521546","0.019316493313521546","0.019316493313521546","0.05349182763744428","0.05349182763744428","0.05349182763744428"
"4","0.05349182763744428","0.05349182763744428","0.05349182763744428","0.03566121842496285","0.03566121842496285","0.03566121842496285","0.06686478454680535","0.06686478454680535","0.06686478454680535"
"8","0.08469539375928678","0.08469539375928678","0.08469539375928678","0.05349182763744428","0.05349182763744428","0.05349182763744428","0.1025260029717682","0.1025260029717682","0.1025260029717682"
"12","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.05943536404160475","0.05943536404160475","0.05943536404160475","0.09361069836552749","0.09361069836552749","0.09361069836552749"
"16","0.09955423476968796","0.09955423476968796","0.09955423476968796","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.09658246656760773","0.09658246656760773","0.09658246656760773"
"20","0.09806835066864784","0.09806835066864784","0.09806835066864784","0.08915304606240713","0.08915304606240713","0.08915304606240713","0.09806835066864784","0.09806835066864784","0.09806835066864784"
"24","0.11589895988112928","0.11589895988112928","0.11589895988112928","0.09063893016344725","0.09063893016344725","0.09063893016344725","0.0950965824665676","0.0950965824665676","0.0950965824665676"
"28","0.10549777117384844","0.10549777117384844","0.10549777117384844","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.10401188707280833"
"32","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.09955423476968796","0.09955423476968796","0.09955423476968796","0.11441307578008915","0.11441307578008915","0.11441307578008915"
"36","0.13224368499257058","0.13224368499257058","0.13224368499257058","0.1025260029717682","0.1025260029717682","0.1025260029717682","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"40","0.13818722139673106","0.13818722139673106","0.13818722139673106","0.09212481426448738","0.09212481426448738","0.09212481426448738","0.12184249628528974","0.12184249628528974","0.12184249628528974"
"44","0.1352154531946508","0.1352154531946508","0.1352154531946508","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.12184249628528974","0.12184249628528974","0.12184249628528974"
"48","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.11441307578008915"
"52","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.11589895988112928","0.11589895988112928","0.11589895988112928"
"56","0.11589895988112928","0.11589895988112928","0.11589895988112928","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.10401188707280833","0.10401188707280833","0.10401188707280833"
"60","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.12035661218424963","0.12035661218424963","0.12035661218424963","0.10698365527488855","0.10698365527488855","0.10698365527488855"
"64","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.12184249628528974","0.12184249628528974","0.12184249628528974"
"68","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.1263001485884101","0.1263001485884101","0.1263001485884101"
"72","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.1411589895988113","0.1411589895988113","0.1411589895988113"
"76","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.12184249628528974","0.12184249628528974","0.12184249628528974"
"80","0.1352154531946508","0.1352154531946508","0.1352154531946508","0.12481426448736999","0.12481426448736999","0.12481426448736999","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"84","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.13224368499257058","0.13224368499257058","0.13224368499257058","0.12481426448736999","0.12481426448736999","0.12481426448736999"
"88","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.13224368499257058","0.13224368499257058","0.13224368499257058","0.1337295690936107","0.1337295690936107","0.1337295690936107"
