"Step","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/GSM8k","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/GSM8k__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/GSM8k__MAX"
"120","0.5496588324488249","0.5496588324488249","0.5496588324488249"
"124","0.5549658832448825","0.5549658832448825","0.5549658832448825"
"128","0.5534495830174374","0.5534495830174374","0.5534495830174374"
"132","0.5511751326762699","0.5511751326762699","0.5511751326762699"
"136","0.5534495830174374","0.5534495830174374","0.5534495830174374"
"140","0.5549658832448825","0.5549658832448825","0.5549658832448825"
"144","0.5670962850644428","0.5670962850644428","0.5670962850644428"
"148","0.5473843821076573","0.5473843821076573","0.5473843821076573"
"152","0.5670962850644428","0.5670962850644428","0.5670962850644428"
"156","0.5731614859742229","0.5731614859742229","0.5731614859742229"
"160","0.5617892342683851","0.5617892342683851","0.5617892342683851"
"164","0.580742987111448","0.5784685367702805","0.5830174374526156"
"168","0.5625473843821076","0.5534495830174374","0.5716451857467779"
"172","0.5724033358605004","0.5724033358605004","0.5724033358605004"
"176","0.5716451857467779","0.5716451857467779","0.5716451857467779"
"180","0.5595147839272175","0.5595147839272175","0.5595147839272175"
"184","0.5739196360879454","0.5739196360879454","0.5739196360879454"
"188","0.5807429871114481","0.5807429871114481","0.5807429871114481"
"192","0.5822592873388931","0.5822592873388931","0.5822592873388931"
"196","0.5784685367702805","0.5784685367702805","0.5784685367702805"
