"Step","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/OlympiadBench","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/OlympiadBench__MAX"
"120","0.13967310549777118","0.13967310549777118","0.13967310549777118"
"124","0.15453194650817237","0.15453194650817237","0.15453194650817237"
"128","0.16196136701337296","0.16196136701337296","0.16196136701337296"
"132","0.1515601783060921","0.1515601783060921","0.1515601783060921"
"136","0.1426448736998514","0.1426448736998514","0.1426448736998514"
"140","0.16790490341753342","0.16790490341753342","0.16790490341753342"
"144","0.16196136701337296","0.16196136701337296","0.16196136701337296"
"148","0.1575037147102526","0.1575037147102526","0.1575037147102526"
"152","0.1589895988112927","0.1589895988112927","0.1589895988112927"
"156","0.1575037147102526","0.1575037147102526","0.1575037147102526"
"160","0.1589895988112927","0.1589895988112927","0.1589895988112927"
"164","0.16196136701337296","0.16047548291233285","0.16344725111441308"
"168","0.16567607726597325","0.16344725111441308","0.16790490341753342"
"172","0.16196136701337296","0.16196136701337296","0.16196136701337296"
"176","0.1575037147102526","0.1575037147102526","0.1575037147102526"
"180","0.16196136701337296","0.16196136701337296","0.16196136701337296"
"184","0.16790490341753342","0.16790490341753342","0.16790490341753342"
"188","0.18424962852897475","0.18424962852897475","0.18424962852897475"
"192","0.1485884101040119","0.1485884101040119","0.1485884101040119"
"196","0.1575037147102526","0.1575037147102526","0.1575037147102526"
