"Step","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/OlympiadBench","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/OlympiadBench__MAX","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/OlympiadBench","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/OlympiadBench__MIN","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/OlympiadBench__MAX"
"0","0","0","0","0.03863298662704309","0.03863298662704309","0.03863298662704309"
"4","0","0","0","0.05052005943536404","0.05052005943536404","0.05052005943536404"
"8","0","0","0","0.1188707280832095","0.1188707280832095","0.1188707280832095"
"12","0","0","0","0.21842496285289748","0.21842496285289748","0.21842496285289748"
"16","0","0","0","0.2511144130757801","0.2511144130757801","0.2511144130757801"
"20","0","0","0","0.2838038632986627","0.2838038632986627","0.2838038632986627"
"24","0","0","0","0.27934621099554235","0.27934621099554235","0.27934621099554235"
"28","0","0","0","0.2659732540861813","0.2659732540861813","0.2659732540861813"
"32","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.274888558692422","0.274888558692422","0.274888558692422"
"36","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.2585438335809807","0.2585438335809807","0.2585438335809807"
"40","0.005943536404160475","0.005943536404160475","0.005943536404160475","0.25705794947994054","0.25705794947994054","0.25705794947994054"
"44","0.010401188707280832","0.010401188707280832","0.010401188707280832","0.2555720653789004","0.2555720653789004","0.2555720653789004"
"48","0.010401188707280832","0.010401188707280832","0.010401188707280832","0.26300148588410105","0.26300148588410105","0.26300148588410105"
"52","0.020802377414561663","0.020802377414561663","0.020802377414561663","0.274888558692422","0.274888558692422","0.274888558692422"
"56","0.02823179791976226","0.02823179791976226","0.02823179791976226","0.25705794947994054","0.25705794947994054","0.25705794947994054"
"60","0.03714710252600297","0.03714710252600297","0.03714710252600297","0.26448736998514116","0.26448736998514116","0.26448736998514116"
"64","0.04011887072808321","0.04011887072808321","0.04011887072808321","0.26151560178306094","0.26151560178306094","0.26151560178306094"
"68","0.04457652303120357","0.04457652303120357","0.04457652303120357","0.2689450222882615","0.2689450222882615","0.2689450222882615"
"72","0.05200594353640416","0.05200594353640416","0.05200594353640416","0.2704309063893016","0.2704309063893016","0.2704309063893016"
"76","0.05200594353640416","0.05200594353640416","0.05200594353640416","0.27934621099554235","0.27934621099554235","0.27934621099554235"
"80","0.05200594353640416","0.05200594353640416","0.05200594353640416","0.2704309063893016","0.2704309063893016","0.2704309063893016"
"84","0.06983655274888559","0.06983655274888559","0.06983655274888559","0.27340267459138184","0.27340267459138184","0.27340267459138184"
"88","0.06835066864784546","0.06835066864784546","0.06835066864784546","0.28083209509658247","0.28083209509658247","0.28083209509658247"
"92","0.05794947994056464","0.05794947994056464","0.05794947994056464","0.27786032689450224","0.27786032689450224","0.27786032689450224"
"96","0.0549777117384844","0.0549777117384844","0.0549777117384844","0.2823179791976226","0.2823179791976226","0.2823179791976226"
"100","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.2704309063893016","0.2704309063893016","0.2704309063893016"
"104","0.06092124814264487","0.06092124814264487","0.06092124814264487","0.27934621099554235","0.27934621099554235","0.27934621099554235"
"108","0.0713224368499257","0.0713224368499257","0.0713224368499257","0.2897473997028232","0.2897473997028232","0.2897473997028232"
"112","0.07280832095096583","0.07280832095096583","0.07280832095096583","0.2763744427934621","0.2763744427934621","0.2763744427934621"
"116","0.07429420505200594","0.07429420505200594","0.07429420505200594","0.27934621099554235","0.27934621099554235","0.27934621099554235"
"120","0.06983655274888559","0.06983655274888559","0.06983655274888559","0.2838038632986627","0.2838038632986627","0.2838038632986627"
"124","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.274888558692422","0.274888558692422","0.274888558692422"
"128","0.06240713224368499","0.06240713224368499","0.06240713224368499","0.2689450222882615","0.2689450222882615","0.2689450222882615"
"132","0.06835066864784546","0.06835066864784546","0.06835066864784546","0.27191679049034173","0.27191679049034173","0.27191679049034173"
"136","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.274888558692422","0.274888558692422","0.274888558692422"
"140","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.2763744427934621","0.2763744427934621","0.2763744427934621"
"144","0.06835066864784546","0.06835066864784546","0.06835066864784546","0.2704309063893016","0.2704309063893016","0.2704309063893016"
"148","0.0638930163447251","0.0638930163447251","0.0638930163447251","0.2689450222882615","0.2689450222882615","0.2689450222882615"
"152","0.0638930163447251","0.0638930163447251","0.0638930163447251","0.2674591381872214","0.2674591381872214","0.2674591381872214"
"156","0.05646359583952452","0.05646359583952452","0.05646359583952452","0.2852897473997028","0.2852897473997028","0.2852897473997028"
"160","0.06092124814264487","0.06092124814264487","0.06092124814264487","0.2689450222882615","0.2689450222882615","0.2689450222882615"
"164","0.05646359583952452","0.05646359583952452","0.05646359583952452","0.28083209509658247","0.28083209509658247","0.28083209509658247"
"168","0.05943536404160475","0.05943536404160475","0.05943536404160475","0.2897473997028232","0.2897473997028232","0.2897473997028232"
"172","0.05794947994056464","0.05794947994056464","0.05794947994056464","0.2867756315007429","0.2867756315007429","0.2867756315007429"
"176","0.05794947994056464","0.05794947994056464","0.05794947994056464","0.29420505200594355","0.29420505200594355","0.29420505200594355"
"180","0.05349182763744428","0.05349182763744428","0.05349182763744428","0.29271916790490343","0.29271916790490343","0.29271916790490343"
"184","0.05943536404160475","0.05943536404160475","0.05943536404160475","0.2867756315007429","0.2867756315007429","0.2867756315007429"
"188","0.05943536404160475","0.05943536404160475","0.05943536404160475","0.2867756315007429","0.2867756315007429","0.2867756315007429"
"192","0.0549777117384844","0.0549777117384844","0.0549777117384844","0.2867756315007429","0.2867756315007429","0.2867756315007429"
"196","0.0549777117384844","0.0549777117384844","0.0549777117384844","0.27786032689450224","0.27786032689450224","0.27786032689450224"
"200","0.05794947994056464","0.05794947994056464","0.05794947994056464","0.2852897473997028","0.2852897473997028","0.2852897473997028"
"204","0.05943536404160475","0.05943536404160475","0.05943536404160475","0.28083209509658247","0.28083209509658247","0.28083209509658247"
"208","0.06240713224368499","0.06240713224368499","0.06240713224368499","0.274888558692422","0.274888558692422","0.274888558692422"
"212","0.0638930163447251","0.0638930163447251","0.0638930163447251","0.2674591381872214","0.2674591381872214","0.2674591381872214"
"216","0.06240713224368499","0.06240713224368499","0.06240713224368499","0.26448736998514116","0.26448736998514116","0.26448736998514116"
"220","0.06092124814264487","0.06092124814264487","0.06092124814264487","0.2659732540861813","0.2659732540861813","0.2659732540861813"
"224","0.06092124814264487","0.06092124814264487","0.06092124814264487","0.27786032689450224","0.27786032689450224","0.27786032689450224"
"228","","","","0.2659732540861813","0.2659732540861813","0.2659732540861813"
