"Step","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/GSM8k","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/GSM8k__MAX","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/GSM8k","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/GSM8k__MIN","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/GSM8k__MAX"
"0","0","0","0","0","0","0"
"4","0","0","0","0.001516300227445034","0.001516300227445034","0.001516300227445034"
"8","0","0","0","0.0037907505686125853","0.0037907505686125853","0.0037907505686125853"
"12","0","0","0","0.12357846853677028","0.12357846853677028","0.12357846853677028"
"16","0","0","0","0.576194086429113","0.576194086429113","0.576194086429113"
"20","0","0","0","0.7702805155420773","0.7702805155420773","0.7702805155420773"
"24","0","0","0","0.821076573161486","0.821076573161486","0.821076573161486"
"28","0","0","0","0.8347232752084913","0.8347232752084913","0.8347232752084913"
"32","0","0","0","0.8377558756633814","0.8377558756633814","0.8377558756633814"
"36","0","0","0","0.8316906747536013","0.8316906747536013","0.8316906747536013"
"40","0","0","0","0.8354814253222138","0.8354814253222138","0.8354814253222138"
"44","0","0","0","0.8324488248673237","0.8324488248673237","0.8324488248673237"
"48","0","0","0","0.8377558756633814","0.8377558756633814","0.8377558756633814"
"52","0","0","0","0.8400303260045489","0.8400303260045489","0.8400303260045489"
"56","0","0","0","0.8332069749810462","0.8332069749810462","0.8332069749810462"
"60","0","0","0","0.8347232752084913","0.8347232752084913","0.8347232752084913"
"64","0","0","0","0.8301743745261562","0.8301743745261562","0.8301743745261562"
"68","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.8400303260045489","0.8400303260045489","0.8400303260045489"
"72","0.006823351023502654","0.006823351023502654","0.006823351023502654","0.8430629264594389","0.8430629264594389","0.8430629264594389"
"76","0.01592115238817286","0.01592115238817286","0.01592115238817286","0.8438210765731615","0.8438210765731615","0.8438210765731615"
"80","0.039423805913570885","0.039423805913570885","0.039423805913570885","0.8468536770280516","0.8468536770280516","0.8468536770280516"
"84","0.07733131159969674","0.07733131159969674","0.07733131159969674","0.8415466262319939","0.8415466262319939","0.8415466262319939"
"88","0.08718726307808947","0.08718726307808947","0.08718726307808947","0.8392721758908264","0.8392721758908264","0.8392721758908264"
"92","0.09097801364670205","0.09097801364670205","0.09097801364670205","0.846095526914329","0.846095526914329","0.846095526914329"
"96","0.08567096285064443","0.08567096285064443","0.08567096285064443","0.844579226686884","0.844579226686884","0.844579226686884"
"100","0.09097801364670205","0.09097801364670205","0.09097801364670205","0.8468536770280516","0.8468536770280516","0.8468536770280516"
"104","0.09855951478392722","0.09855951478392722","0.09855951478392722","0.844579226686884","0.844579226686884","0.844579226686884"
"108","0.09249431387414708","0.09249431387414708","0.09249431387414708","0.8483699772554966","0.8483699772554966","0.8483699772554966"
"112","0.0887035633055345","0.0887035633055345","0.0887035633055345","0.8498862774829417","0.8498862774829417","0.8498862774829417"
"116","0.09628506444275967","0.09628506444275967","0.09628506444275967","0.8514025777103866","0.8514025777103866","0.8514025777103866"
"120","0.0887035633055345","0.0887035633055345","0.0887035633055345","0.8529188779378317","0.8529188779378317","0.8529188779378317"
"124","0.08491281273692192","0.08491281273692192","0.08491281273692192","0.8574677786201668","0.8574677786201668","0.8574677786201668"
"128","0.0841546626231994","0.0841546626231994","0.0841546626231994","0.8529188779378317","0.8529188779378317","0.8529188779378317"
"132","0.07657316148597422","0.07657316148597422","0.07657316148597422","0.8544351781652767","0.8544351781652767","0.8544351781652767"
"136","0.07960576194086429","0.07960576194086429","0.07960576194086429","0.8536770280515542","0.8536770280515542","0.8536770280515542"
"140","0.08339651250947688","0.08339651250947688","0.08339651250947688","0.846095526914329","0.846095526914329","0.846095526914329"
"144","0.08263836239575435","0.08263836239575435","0.08263836239575435","0.849128127369219","0.849128127369219","0.849128127369219"
"148","0.07960576194086429","0.07960576194086429","0.07960576194086429","0.8536770280515542","0.8536770280515542","0.8536770280515542"
"152","0.08188021228203184","0.08188021228203184","0.08188021228203184","0.8506444275966641","0.8506444275966641","0.8506444275966641"
"156","0.0841546626231994","0.0841546626231994","0.0841546626231994","0.8582259287338894","0.8582259287338894","0.8582259287338894"
"160","0.0803639120545868","0.0803639120545868","0.0803639120545868","0.8521607278241091","0.8521607278241091","0.8521607278241091"
"164","0.08112206216830932","0.08112206216830932","0.08112206216830932","0.8544351781652767","0.8544351781652767","0.8544351781652767"
"168","0.08263836239575435","0.08263836239575435","0.08263836239575435","0.8506444275966641","0.8506444275966641","0.8506444275966641"
"172","0.08339651250947688","0.08339651250947688","0.08339651250947688","0.8453373768006065","0.8453373768006065","0.8453373768006065"
"176","0.08567096285064443","0.08567096285064443","0.08567096285064443","0.8521607278241091","0.8521607278241091","0.8521607278241091"
"180","0.07884761182714177","0.07884761182714177","0.07884761182714177","0.8551933282789992","0.8551933282789992","0.8551933282789992"
"184","0.07960576194086429","0.07960576194086429","0.07960576194086429","0.8521607278241091","0.8521607278241091","0.8521607278241091"
"188","0.07884761182714177","0.07884761182714177","0.07884761182714177","0.8514025777103866","0.8514025777103866","0.8514025777103866"
"192","0.08112206216830932","0.08112206216830932","0.08112206216830932","0.8605003790750568","0.8605003790750568","0.8605003790750568"
"196","0.0841546626231994","0.0841546626231994","0.0841546626231994","0.8574677786201668","0.8574677786201668","0.8574677786201668"
"200","0.08491281273692192","0.08491281273692192","0.08491281273692192","0.8536770280515542","0.8536770280515542","0.8536770280515542"
"204","0.08567096285064443","0.08567096285064443","0.08567096285064443","0.8605003790750568","0.8605003790750568","0.8605003790750568"
"208","0.08263836239575435","0.08263836239575435","0.08263836239575435","0.8559514783927218","0.8559514783927218","0.8559514783927218"
"212","0.08567096285064443","0.08567096285064443","0.08567096285064443","0.8620166793025019","0.8620166793025019","0.8620166793025019"
"216","0.0841546626231994","0.0841546626231994","0.0841546626231994","0.8597422289613343","0.8597422289613343","0.8597422289613343"
"220","0.0841546626231994","0.0841546626231994","0.0841546626231994","0.865049279757392","0.865049279757392","0.865049279757392"
"224","0.08339651250947688","0.08339651250947688","0.08339651250947688","0.8688400303260045","0.8688400303260045","0.8688400303260045"
"228","","","","0.8612585291887794","0.8612585291887794","0.8612585291887794"
"232","","","","0.8620166793025019","0.8620166793025019","0.8620166793025019"
"236","","","","0.8559514783927218","0.8559514783927218","0.8559514783927218"
"240","","","","0.8597422289613343","0.8597422289613343","0.8597422289613343"
"244","","","","0.8605003790750568","0.8605003790750568","0.8605003790750568"
"248","","","","0.8582259287338894","0.8582259287338894","0.8582259287338894"
"252","","","","0.8582259287338894","0.8582259287338894","0.8582259287338894"
"256","","","","0.8620166793025019","0.8620166793025019","0.8620166793025019"
"260","","","","0.8574677786201668","0.8574677786201668","0.8574677786201668"
"264","","","","0.8642911296436695","0.8642911296436695","0.8642911296436695"
"268","","","","0.8582259287338894","0.8582259287338894","0.8582259287338894"
"272","","","","0.8658074298711145","0.8658074298711145","0.8658074298711145"
"276","","","","0.8567096285064443","0.8567096285064443","0.8567096285064443"
"280","","","","0.8597422289613343","0.8597422289613343","0.8597422289613343"
"284","","","","0.8567096285064443","0.8567096285064443","0.8567096285064443"
"288","","","","0.8551933282789992","0.8551933282789992","0.8551933282789992"
"292","","","","0.8589840788476119","0.8589840788476119","0.8589840788476119"
"296","","","","0.8551933282789992","0.8551933282789992","0.8551933282789992"
"300","","","","0.8559514783927218","0.8559514783927218","0.8559514783927218"
