"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/GSM8k__MAX"
"0","0.45943896891584535","0.45943896891584535","0.45943896891584535","0.45943896891584535","0.45943896891584535","0.45943896891584535","0.2880970432145565","0.2880970432145565","0.2880970432145565","0.37604245640636846","0.37604245640636846","0.37604245640636846"
"4","0.6846095526914329","0.6846095526914329","0.6846095526914329","0.6921910538286581","0.6921910538286581","0.6921910538286581","0.5519332827899924","0.5519332827899924","0.5519332827899924","0.6345716451857468","0.6345716451857468","0.6345716451857468"
"8","0.7831690674753601","0.7831690674753601","0.7831690674753601","0.77710386656558","0.77710386656558","0.77710386656558","0.7247915087187263","0.7247915087187263","0.7247915087187263","0.7573919636087946","0.7573919636087946","0.7573919636087946"
"12","0.8051554207733131","0.8051554207733131","0.8051554207733131","0.7862016679302501","0.7862016679302501","0.7862016679302501","0.7293404094010614","0.7293404094010614","0.7293404094010614","0.7680060652009097","0.7680060652009097","0.7680060652009097"
"16","0.8081880212282032","0.8081880212282032","0.8081880212282032","0.7846853677028052","0.7846853677028052","0.7846853677028052","0.7323730098559514","0.7323730098559514","0.7323730098559514","0.775587566338135","0.775587566338135","0.775587566338135"
"20","0.8059135708870356","0.8059135708870356","0.8059135708870356","0.7877179681576952","0.7877179681576952","0.7877179681576952","0.7422289613343442","0.7422289613343442","0.7422289613343442","0.7733131159969674","0.7733131159969674","0.7733131159969674"
"24","0.8043972706595905","0.8043972706595905","0.8043972706595905","0.7907505686125853","0.7907505686125853","0.7907505686125853","0.7467778620166793","0.7467778620166793","0.7467778620166793","0.7839272175890827","0.7839272175890827","0.7839272175890827"
"28","0.8134950720242609","0.8134950720242609","0.8134950720242609","0.7915087187263078","0.7915087187263078","0.7915087187263078","0.7467778620166793","0.7467778620166793","0.7467778620166793","0.7793783169067475","0.7793783169067475","0.7793783169067475"
"32","0.8074298711144806","0.8074298711144806","0.8074298711144806","0.7907505686125853","0.7907505686125853","0.7907505686125853","0.7573919636087946","0.7573919636087946","0.7573919636087946","0.7763457164518575","0.7763457164518575","0.7763457164518575"
"36","0.8097043214556482","0.8097043214556482","0.8097043214556482","0.7998483699772555","0.7998483699772555","0.7998483699772555","0.7490523123578469","0.7490523123578469","0.7490523123578469","0.7846853677028052","0.7846853677028052","0.7846853677028052"
