Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/OlympiadBench,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/OlympiadBench__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/OlympiadBench__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/OlympiadBench,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/OlympiadBench__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/OlympiadBench__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/OlympiadBench,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/OlympiadBench__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/OlympiadBench__MIN
0,0.0193164933135215,0.0193164933135215,0.0193164933135215,0.0534918276374442,0.0534918276374442,0.0534918276374442,0.0594353640416047,0.0594353640416047,0.0594353640416047
4,0.0356612184249628,0.0356612184249628,0.0356612184249628,0.0668647845468053,0.0668647845468053,0.0668647845468053,0.0534918276374442,0.0534918276374442,0.0534918276374442
8,0.0534918276374442,0.0534918276374442,0.0534918276374442,0.1025260029717682,0.1025260029717682,0.1025260029717682,0.0846953937592867,0.0846953937592867,0.0846953937592867
12,0.0594353640416047,0.0594353640416047,0.0594353640416047,0.0936106983655274,0.0936106983655274,0.0936106983655274,0.0950965824665676,0.0950965824665676,0.0950965824665676
16,0.0653789004457652,0.0653789004457652,0.0653789004457652,0.0965824665676077,0.0965824665676077,0.0965824665676077,0.0995542347696879,0.0995542347696879,0.0995542347696879
20,0.0891530460624071,0.0891530460624071,0.0891530460624071,0.0980683506686478,0.0980683506686478,0.0980683506686478,0.0980683506686478,0.0980683506686478,0.0980683506686478
24,0.0906389301634472,0.0906389301634472,0.0906389301634472,0.0950965824665676,0.0950965824665676,0.0950965824665676,0.1158989598811292,0.1158989598811292,0.1158989598811292
28,0.1040118870728083,0.1040118870728083,0.1040118870728083,0.1040118870728083,0.1040118870728083,0.1040118870728083,0.1054977711738484,0.1054977711738484,0.1054977711738484
32,0.0995542347696879,0.0995542347696879,0.0995542347696879,0.1144130757800891,0.1144130757800891,0.1144130757800891,0.1173848439821693,0.1173848439821693,0.1173848439821693
36,0.1025260029717682,0.1025260029717682,0.1025260029717682,0.1337295690936107,0.1337295690936107,0.1337295690936107,0.1322436849925705,0.1322436849925705,0.1322436849925705
40,0.0921248142644873,0.0921248142644873,0.0921248142644873,0.1218424962852897,0.1218424962852897,0.1218424962852897,0.138187221396731,0.138187221396731,0.138187221396731
44,0.1144130757800891,0.1144130757800891,0.1144130757800891,0.1218424962852897,0.1218424962852897,0.1218424962852897,0.1352154531946508,0.1352154531946508,0.1352154531946508
48,0.1144130757800891,0.1144130757800891,0.1144130757800891,0.1144130757800891,0.1144130757800891,0.1144130757800891,0.1144130757800891,0.1144130757800891,0.1144130757800891
52,0.1114413075780089,0.1114413075780089,0.1114413075780089,0.1158989598811292,0.1158989598811292,0.1158989598811292,0.112927191679049,0.112927191679049,0.112927191679049
56,0.1173848439821693,0.1173848439821693,0.1173848439821693,0.1040118870728083,0.1040118870728083,0.1040118870728083,0.1158989598811292,0.1158989598811292,0.1158989598811292
60,0.1203566121842496,0.1203566121842496,0.1203566121842496,0.1069836552748885,0.1069836552748885,0.1069836552748885,0.1188707280832095,0.1188707280832095,0.1188707280832095
64,0.1263001485884101,0.1263001485884101,0.1263001485884101,0.1218424962852897,0.1218424962852897,0.1218424962852897,0.1188707280832095,0.1188707280832095,0.1188707280832095
68,0.1114413075780089,0.1114413075780089,0.1114413075780089,0.1263001485884101,0.1263001485884101,0.1263001485884101,0.112927191679049,0.112927191679049,0.112927191679049
72,0.112927191679049,0.112927191679049,0.112927191679049,0.1411589895988113,0.1411589895988113,0.1411589895988113,0.1263001485884101,0.1263001485884101,0.1263001485884101
76,0.1188707280832095,0.1188707280832095,0.1188707280832095,0.1218424962852897,0.1218424962852897,0.1218424962852897,0.1218424962852897,0.1218424962852897,0.1218424962852897
80,0.1248142644873699,0.1248142644873699,0.1248142644873699,0.1337295690936107,0.1337295690936107,0.1337295690936107,0.1352154531946508,0.1352154531946508,0.1352154531946508
84,0.1322436849925705,0.1322436849925705,0.1322436849925705,0.1248142644873699,0.1248142644873699,0.1248142644873699,0.1188707280832095,0.1188707280832095,0.1188707280832095
88,0.1322436849925705,0.1322436849925705,0.1322436849925705,0.1337295690936107,0.1337295690936107,0.1337295690936107,0.1188707280832095,0.1188707280832095,0.1188707280832095
92,0.1352154531946508,0.1352154531946508,0.1352154531946508,0.1307578008915304,0.1307578008915304,0.1307578008915304,0.1203566121842496,0.1203566121842496,0.1203566121842496
96,0.1233283803863298,0.1233283803863298,0.1233283803863298,0.1233283803863298,0.1233283803863298,0.1233283803863298,0.1263001485884101,0.1263001485884101,0.1263001485884101
100,0.1263001485884101,0.1263001485884101,0.1263001485884101,0.1263001485884101,0.1263001485884101,0.1263001485884101,0.1173848439821693,0.1173848439821693,0.1173848439821693
104,0.1292719167904903,0.1292719167904903,0.1292719167904903,0.1396731054977711,0.1396731054977711,0.1396731054977711,0.1367013372956909,0.1367013372956909,0.1367013372956909
108,0.1530460624071322,0.1530460624071322,0.1530460624071322,0.1307578008915304,0.1307578008915304,0.1307578008915304,0.1367013372956909,0.1367013372956909,0.1367013372956909
112,0.1367013372956909,0.1367013372956909,0.1367013372956909,0.1396731054977711,0.1396731054977711,0.1396731054977711,0.1352154531946508,0.1352154531946508,0.1352154531946508
