"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/GSM8k__MAX"
"0","0","0","0","0","0","0"
"4","0","0","0","0","0","0"
"8","0","0","0","0","0","0"
"12","0","0","0","0","0","0"
"16","0","0","0","0","0","0"
"20","0","0","0","0","0","0"
"24","0","0","0","0","0","0"
"28","0","0","0","0","0","0"
"32","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"36","0.015163002274450341","0.015163002274450341","0.015163002274450341","0","0","0"
"40","0.04473085670962851","0.04473085670962851","0.04473085670962851","0","0","0"
"44","0.08946171341925702","0.08946171341925702","0.08946171341925702","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"48","0.1463229719484458","0.1463229719484458","0.1463229719484458","0.004548900682335102","0.004548900682335102","0.004548900682335102"
"52","0.26156178923426837","0.26156178923426837","0.26156178923426837","0.0075815011372251705","0.0075815011372251705","0.0075815011372251705"
"56","0.378316906747536","0.378316906747536","0.378316906747536","0.02350265352539803","0.02350265352539803","0.02350265352539803"
"60","0.42987111448066717","0.42987111448066717","0.42987111448066717","0.04397270659590599","0.04397270659590599","0.04397270659590599"
"64","0.46853677028051555","0.46853677028051555","0.46853677028051555","0.06595905989385899","0.06595905989385899","0.06595905989385899"
"68","0.5140257771038665","0.5140257771038665","0.5140257771038665","0.07278241091736164","0.07278241091736164","0.07278241091736164"
"72","0.555724033358605","0.555724033358605","0.555724033358605","0.1023502653525398","0.1023502653525398","0.1023502653525398"
"76","0.5648218347232752","0.5648218347232752","0.5648218347232752","0.12282031842304776","0.12282031842304776","0.12282031842304776"
"80","0.5981804397270659","0.5981804397270659","0.5981804397270659","0.1516300227445034","0.1516300227445034","0.1516300227445034"
"84","0.5943896891584534","0.5943896891584534","0.5943896891584534","0.21531463229719486","0.21531463229719486","0.21531463229719486"
"88","0.6034874905231236","0.6034874905231236","0.6034874905231236","0.3055344958301744","0.3055344958301744","0.3055344958301744"
"92","0.6087945413191812","0.6087945413191812","0.6087945413191812","0.379833206974981","0.379833206974981","0.379833206974981"
"96","0.6345716451857468","0.6345716451857468","0.6345716451857468","0.4533737680060652","0.4533737680060652","0.4533737680060652"
"100","0.6376042456406369","0.6376042456406369","0.6376042456406369","0.5451099317664898","0.5451099317664898","0.5451099317664898"
"104","0.6376042456406369","0.6376042456406369","0.6376042456406369","0.5754359363153905","0.5754359363153905","0.5754359363153905"
"108","0.6277482941622441","0.6277482941622441","0.6277482941622441","0.6338134950720242","0.6338134950720242","0.6338134950720242"
"112","0.6277482941622441","0.6277482941622441","0.6277482941622441","0.6588324488248674","0.6588324488248674","0.6588324488248674"
"116","0.6376042456406369","0.6376042456406369","0.6376042456406369","0.6800606520090978","0.6800606520090978","0.6800606520090978"
