"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","","","","53","53","53"
"8","","","","53","53","53"
"12","7","7","7","53","53","53"
"16","8","8","8","64","64","64"
"20","22.142857142857142","22.142857142857142","22.142857142857142","361","361","361"
"24","482.3333333333333","482.3333333333333","482.3333333333333","255","255","255"
"28","746.95","746.95","746.95","165","165","165"
"32","484.22727272727275","484.22727272727275","484.22727272727275","435.16","435.16","435.16"
"36","216.41463414634146","216.41463414634146","216.41463414634146","335.8235294117647","335.8235294117647","335.8235294117647"
"40","103.44680851063829","103.44680851063829","103.44680851063829","81.02631578947368","81.02631578947368","81.02631578947368"
"44","195.13333333333333","195.13333333333333","195.13333333333333","58.42857142857143","58.42857142857143","58.42857142857143"
"48","215.29545454545453","215.29545454545453","215.29545454545453","69.01886792452831","69.01886792452831","69.01886792452831"
"52","36.97560975609756","36.97560975609756","36.97560975609756","23.224489795918366","23.224489795918366","23.224489795918366"
"56","240.76190476190476","240.76190476190476","240.76190476190476","8.319148936170214","8.319148936170214","8.319148936170214"
"60","546.3023255813954","546.3023255813954","546.3023255813954","10.954545454545455","10.954545454545455","10.954545454545455"
"64","565.7021276595744","565.7021276595744","565.7021276595744","51.31111111111111","51.31111111111111","51.31111111111111"
"68","798.7333333333333","798.7333333333333","798.7333333333333","87.25531914893617","87.25531914893617","87.25531914893617"
"72","622.1428571428571","622.1428571428571","622.1428571428571","306.1764705882353","306.1764705882353","306.1764705882353"
"76","528.9183673469388","528.9183673469388","528.9183673469388","233.0408163265306","233.0408163265306","233.0408163265306"
"80","452.8125","452.8125","452.8125","296.76363636363635","296.76363636363635","296.76363636363635"
"84","318.7241379310345","318.7241379310345","318.7241379310345","308.1296296296296","308.1296296296296","308.1296296296296"
"88","283.4925373134328","283.4925373134328","283.4925373134328","283.81632653061223","283.81632653061223","283.81632653061223"
"92","221.41666666666666","221.41666666666666","221.41666666666666","344.9019607843137","344.9019607843137","344.9019607843137"
"96","269.296875","269.296875","269.296875","437","437","437"
"100","272.7142857142857","272.7142857142857","272.7142857142857","492.7586206896552","492.7586206896552","492.7586206896552"
"104","325.55555555555554","325.55555555555554","325.55555555555554","467.5079365079365","467.5079365079365","467.5079365079365"
"108","242.58823529411765","242.58823529411765","242.58823529411765","406.63380281690144","406.63380281690144","406.63380281690144"
"112","420.9344262295082","420.9344262295082","420.9344262295082","479.8","479.8","479.8"
"116","381.8787878787879","381.8787878787879","381.8787878787879","359.6714285714286","359.6714285714286","359.6714285714286"
"120","420.3392857142857","420.3392857142857","420.3392857142857","381.84722222222223","381.84722222222223","381.84722222222223"
"124","332.7704918032787","332.7704918032787","332.7704918032787","390.0740740740741","390.0740740740741","390.0740740740741"
"128","381.7358490566038","381.7358490566038","381.7358490566038","363.5232558139535","363.5232558139535","363.5232558139535"
"132","260.921568627451","260.921568627451","260.921568627451","309.51724137931035","309.51724137931035","309.51724137931035"
"136","382.93220338983053","382.93220338983053","382.93220338983053","355","355","355"
"140","299.5964912280702","299.5964912280702","299.5964912280702","419.7625","419.7625","419.7625"
"144","398.2307692307692","398.2307692307692","398.2307692307692","426.6025641025641","426.6025641025641","426.6025641025641"
"148","322.578125","322.578125","322.578125","412.0394736842105","412.0394736842105","412.0394736842105"
"152","418.04761904761904","418.04761904761904","418.04761904761904","359.14772727272725","359.14772727272725","359.14772727272725"
"156","378.6923076923077","378.6923076923077","378.6923076923077","332.26666666666665","332.26666666666665","332.26666666666665"
"160","315","315","315","363.03614457831327","363.03614457831327","363.03614457831327"
"164","265.05797101449275","265.05797101449275","265.05797101449275","414.49367088607596","414.49367088607596","414.49367088607596"
"168","287.3285714285714","287.3285714285714","287.3285714285714","393.82608695652175","393.82608695652175","393.82608695652175"
"172","304.87142857142857","304.87142857142857","304.87142857142857","506.94736842105266","506.94736842105266","506.94736842105266"
"176","321.61971830985914","321.61971830985914","321.61971830985914","463.2435897435897","463.2435897435897","463.2435897435897"
"180","255.8695652173913","255.8695652173913","255.8695652173913","526.7012987012987","526.7012987012987","526.7012987012987"
"184","384.53521126760563","384.53521126760563","384.53521126760563","496.35064935064935","496.35064935064935","496.35064935064935"
"188","528.25","528.25","528.25","482.0769230769231","482.0769230769231","482.0769230769231"
"192","448.1267605633803","448.1267605633803","448.1267605633803","473.8888888888889","473.8888888888889","473.8888888888889"
"196","377.4923076923077","377.4923076923077","377.4923076923077","513.2727272727273","513.2727272727273","513.2727272727273"
"200","374.94594594594594","374.94594594594594","374.94594594594594","641.2043010752689","641.2043010752689","641.2043010752689"
"204","445.7307692307692","445.7307692307692","445.7307692307692","738.1927710843373","738.1927710843373","738.1927710843373"
"208","319.88732394366195","319.88732394366195","319.88732394366195","550.4418604651163","550.4418604651163","550.4418604651163"
"212","313.07936507936506","313.07936507936506","313.07936507936506","677.5913978494624","677.5913978494624","677.5913978494624"
"216","324.75384615384615","324.75384615384615","324.75384615384615","472.3421052631579","472.3421052631579","472.3421052631579"
"220","404.32758620689657","404.32758620689657","404.32758620689657","663.4675324675325","663.4675324675325","663.4675324675325"
"224","415.1212121212121","415.1212121212121","415.1212121212121","752.5568181818181","752.5568181818181","752.5568181818181"
"228","313","313","313","799.5054945054945","799.5054945054945","799.5054945054945"
"232","304.71232876712327","304.71232876712327","304.71232876712327","672.9540229885057","672.9540229885057","672.9540229885057"
"236","422.64102564102564","422.64102564102564","422.64102564102564","792.5204081632653","792.5204081632653","792.5204081632653"
"240","387.0921052631579","387.0921052631579","387.0921052631579","733.2747252747253","733.2747252747253","733.2747252747253"
"244","361.125","361.125","361.125","695.5106382978723","695.5106382978723","695.5106382978723"
"248","405.4594594594595","405.4594594594595","405.4594594594595","641.1931818181819","641.1931818181819","641.1931818181819"
"252","357.97222222222223","357.97222222222223","357.97222222222223","851.0222222222222","851.0222222222222","851.0222222222222"
"256","429.9166666666667","429.9166666666667","429.9166666666667","856.3734939759037","856.3734939759037","856.3734939759037"
"260","","","","1218.4782608695652","1218.4782608695652","1218.4782608695652"
"264","","","","1050.4941176470588","1050.4941176470588","1050.4941176470588"
"268","","","","877.2666666666667","877.2666666666667","877.2666666666667"
"272","","","","1051.142857142857","1051.142857142857","1051.142857142857"
"276","","","","917.2168674698795","917.2168674698795","917.2168674698795"
"280","","","","925.0357142857143","925.0357142857143","925.0357142857143"
"284","","","","823.6315789473684","823.6315789473684","823.6315789473684"
"288","","","","964.6559139784946","964.6559139784946","964.6559139784946"
"292","","","","768.1578947368421","768.1578947368421","768.1578947368421"
"296","","","","843.9759036144578","843.9759036144578","843.9759036144578"
"300","","","","933.4512195121952","933.4512195121952","933.4512195121952"
"304","","","","978.0449438202247","978.0449438202247","978.0449438202247"
"308","","","","1183.26582278481","1183.26582278481","1183.26582278481"
"312","","","","1038.3734939759036","1038.3734939759036","1038.3734939759036"
"316","","","","1071.906976744186","1071.906976744186","1071.906976744186"
"320","","","","1162.73417721519","1162.73417721519","1162.73417721519"
"324","","","","1349.3544303797469","1349.3544303797469","1349.3544303797469"
"328","","","","1511.9662921348315","1511.9662921348315","1511.9662921348315"
"332","","","","1468.2696629213483","1468.2696629213483","1468.2696629213483"
"336","","","","1392.8351648351647","1392.8351648351647","1392.8351648351647"
