"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/OlympiadBench","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/OlympiadBench","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/OlympiadBench","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/OlympiadBench__MAX"
"0","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.12035661218424963","0.12035661218424963","0.12035661218424963","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188"
"4","0.1337295690936107","0.1337295690936107","0.1337295690936107","0.150074294205052","0.150074294205052","0.150074294205052","0.029717682020802376","0.029717682020802376","0.029717682020802376"
"8","0.17533432392273401","0.17533432392273401","0.17533432392273401","0.1812778603268945","0.1812778603268945","0.1812778603268945","0.11589895988112928","0.11589895988112928","0.11589895988112928"
"12","0.18722139673105498","0.18722139673105498","0.18722139673105498","0.16196136701337296","0.16196136701337296","0.16196136701337296","0.1411589895988113","0.1411589895988113","0.1411589895988113"
"16","0.18573551263001487","0.18573551263001487","0.18573551263001487","0.17682020802377416","0.17682020802377416","0.17682020802377416","0.1664190193164933","0.1664190193164933","0.1664190193164933"
"20","0.19167904903417535","0.19167904903417535","0.19167904903417535","0.19167904903417535","0.19167904903417535","0.19167904903417535","0.1901931649331352","0.1901931649331352","0.1901931649331352"
"24","0.2050520059435364","0.2050520059435364","0.2050520059435364","0.20802377414561665","0.20802377414561665","0.20802377414561665","0.19465081723625557","0.19465081723625557","0.19465081723625557"
"28","0.21545319465081725","0.21545319465081725","0.21545319465081725","0.20802377414561665","0.20802377414561665","0.20802377414561665","0.212481426448737","0.212481426448737","0.212481426448737"
"32","0.20802377414561665","0.20802377414561665","0.20802377414561665","0.21842496285289748","0.21842496285289748","0.21842496285289748","0.21545319465081725","0.21545319465081725","0.21545319465081725"
"36","0.20059435364041606","0.20059435364041606","0.20059435364041606","0.19465081723625557","0.19465081723625557","0.19465081723625557","0.23328380386329867","0.23328380386329867","0.23328380386329867"
"40","0.212481426448737","0.212481426448737","0.212481426448737","0.20059435364041606","0.20059435364041606","0.20059435364041606","0.22585438335809807","0.22585438335809807","0.22585438335809807"
"44","0.2199108469539376","0.2199108469539376","0.2199108469539376","0.21545319465081725","0.21545319465081725","0.21545319465081725","0.2213967310549777","0.2213967310549777","0.2213967310549777"
"48","0.2288261515601783","0.2288261515601783","0.2288261515601783","0.22585438335809807","0.22585438335809807","0.22585438335809807","0.2511144130757801","0.2511144130757801","0.2511144130757801"
"52","0.21693907875185736","0.21693907875185736","0.21693907875185736","0.21842496285289748","0.21842496285289748","0.21842496285289748","0.22288261515601784","0.22288261515601784","0.22288261515601784"
"56","0.2213967310549777","0.2213967310549777","0.2213967310549777","0.23476968796433878","0.23476968796433878","0.23476968796433878","0.2600297176820208","0.2600297176820208","0.2600297176820208"
"60","0.21545319465081725","0.21545319465081725","0.21545319465081725","0.22734026745913818","0.22734026745913818","0.22734026745913818","0.26448736998514116","0.26448736998514116","0.26448736998514116"
"64","0.21099554234769688","0.21099554234769688","0.21099554234769688","0.23179791976225855","0.23179791976225855","0.23179791976225855","0.2555720653789004","0.2555720653789004","0.2555720653789004"
