"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/GSM8k","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/GSM8k","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/GSM8k","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/GSM8k__MAX"
"0","0.18347232752084913","0.18347232752084913","0.18347232752084913","0.2934040940106141","0.2934040940106141","0.2934040940106141","0.016679302501895376","0.016679302501895376","0.016679302501895376"
"4","0.40333586050037906","0.40333586050037906","0.40333586050037906","0.4564063684609553","0.4564063684609553","0.4564063684609553","0.06520090978013647","0.06520090978013647","0.06520090978013647"
"8","0.7452615617892343","0.7452615617892343","0.7452615617892343","0.733131159969674","0.733131159969674","0.733131159969674","0.6520090978013646","0.6520090978013646","0.6520090978013646"
"12","0.7687642153146323","0.7687642153146323","0.7687642153146323","0.756633813495072","0.756633813495072","0.756633813495072","0.730098559514784","0.730098559514784","0.730098559514784"
"16","0.7680060652009097","0.7680060652009097","0.7680060652009097","0.7626990144048522","0.7626990144048522","0.7626990144048522","0.7414708112206216","0.7414708112206216","0.7414708112206216"
"20","0.7877179681576952","0.7877179681576952","0.7877179681576952","0.7725549658832449","0.7725549658832449","0.7725549658832449","0.7536012130401819","0.7536012130401819","0.7536012130401819"
"24","0.7854435178165277","0.7854435178165277","0.7854435178165277","0.7680060652009097","0.7680060652009097","0.7680060652009097","0.7854435178165277","0.7854435178165277","0.7854435178165277"
"28","0.7975739196360879","0.7975739196360879","0.7975739196360879","0.7892342683851402","0.7892342683851402","0.7892342683851402","0.7831690674753601","0.7831690674753601","0.7831690674753601"
"32","0.7937831690674754","0.7937831690674754","0.7937831690674754","0.7824109173616376","0.7824109173616376","0.7824109173616376","0.7892342683851402","0.7892342683851402","0.7892342683851402"
"36","0.8036391205458681","0.8036391205458681","0.8036391205458681","0.7824109173616376","0.7824109173616376","0.7824109173616376","0.8104624715693708","0.8104624715693708","0.8104624715693708"
"40","0.8036391205458681","0.8036391205458681","0.8036391205458681","0.7922668688400303","0.7922668688400303","0.7922668688400303","0.7998483699772555","0.7998483699772555","0.7998483699772555"
"44","0.8059135708870356","0.8059135708870356","0.8059135708870356","0.7854435178165277","0.7854435178165277","0.7854435178165277","0.8119787717968158","0.8119787717968158","0.8119787717968158"
"48","0.8134950720242609","0.8134950720242609","0.8134950720242609","0.7869598180439727","0.7869598180439727","0.7869598180439727","0.796057619408643","0.796057619408643","0.796057619408643"
"52","0.8172858225928734","0.8172858225928734","0.8172858225928734","0.796057619408643","0.796057619408643","0.796057619408643","0.8074298711144806","0.8074298711144806","0.8074298711144806"
"56","0.8119787717968158","0.8119787717968158","0.8119787717968158","0.7998483699772555","0.7998483699772555","0.7998483699772555","0.819560272934041","0.819560272934041","0.819560272934041"
"60","0.8097043214556482","0.8097043214556482","0.8097043214556482","0.8104624715693708","0.8104624715693708","0.8104624715693708","0.819560272934041","0.819560272934041","0.819560272934041"
"64","0.8112206216830933","0.8112206216830933","0.8112206216830933","0.8097043214556482","0.8097043214556482","0.8097043214556482","0.8203184230477635","0.8203184230477635","0.8203184230477635"
"68","0.8119787717968158","0.8119787717968158","0.8119787717968158","0.8074298711144806","0.8074298711144806","0.8074298711144806","0.8188021228203184","0.8188021228203184","0.8188021228203184"
"72","0.8104624715693708","0.8104624715693708","0.8104624715693708","0.8074298711144806","0.8074298711144806","0.8074298711144806","0.8134950720242609","0.8134950720242609","0.8134950720242609"
"76","0.8104624715693708","0.8104624715693708","0.8104624715693708","0.8172858225928734","0.8172858225928734","0.8172858225928734","0.8248673237300985","0.8248673237300985","0.8248673237300985"
"80","0.8180439727065959","0.8180439727065959","0.8180439727065959","0.8188021228203184","0.8188021228203184","0.8188021228203184","0.8369977255496588","0.8369977255496588","0.8369977255496588"
"84","0.8104624715693708","0.8104624715693708","0.8104624715693708","0.8119787717968158","0.8119787717968158","0.8119787717968158","0.8301743745261562","0.8301743745261562","0.8301743745261562"
"88","0.8165276724791509","0.8165276724791509","0.8165276724791509","0.8066717210007581","0.8066717210007581","0.8066717210007581","0.8218347232752085","0.8218347232752085","0.8218347232752085"
"92","0.8157695223654283","0.8157695223654283","0.8157695223654283","0.8021228203184231","0.8021228203184231","0.8021228203184231","0.8347232752084913","0.8347232752084913","0.8347232752084913"
"96","0.8172858225928734","0.8172858225928734","0.8172858225928734","0.7983320697498104","0.7983320697498104","0.7983320697498104","0.824109173616376","0.824109173616376","0.824109173616376"
"100","0.8150113722517058","0.8150113722517058","0.8150113722517058","0.8104624715693708","0.8104624715693708","0.8104624715693708","0.8407884761182715","0.8407884761182715","0.8407884761182715"
"104","0.8233510235026535","0.8233510235026535","0.8233510235026535","0.8134950720242609","0.8134950720242609","0.8134950720242609","0.8400303260045489","0.8400303260045489","0.8400303260045489"
"108","0.8172858225928734","0.8172858225928734","0.8172858225928734","0.8218347232752085","0.8218347232752085","0.8218347232752085","0.8385140257771039","0.8385140257771039","0.8385140257771039"
"112","0.8188021228203184","0.8188021228203184","0.8188021228203184","0.8309325246398787","0.8309325246398787","0.8309325246398787","0.8400303260045489","0.8400303260045489","0.8400303260045489"
"116","0.8203184230477635","0.8203184230477635","0.8203184230477635","0.8301743745261562","0.8301743745261562","0.8301743745261562","0.849128127369219","0.849128127369219","0.849128127369219"
"120","0.8142532221379833","0.8142532221379833","0.8142532221379833","0.8278999241849886","0.8278999241849886","0.8278999241849886","0.8392721758908264","0.8392721758908264","0.8392721758908264"
"124","0.8043972706595905","0.8043972706595905","0.8043972706595905","0.8278999241849886","0.8278999241849886","0.8278999241849886","0.8468536770280516","0.8468536770280516","0.8468536770280516"
