"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/OlympiadBench__MAX"
"0","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.09361069836552749"
"4","0.09658246656760773","0.09658246656760773","0.09658246656760773","0.09806835066864784","0.09806835066864784","0.09806835066864784"
"8","0.11589895988112928","0.11589895988112928","0.11589895988112928","0.09658246656760773","0.09658246656760773","0.09658246656760773"
"12","0.09955423476968796","0.09955423476968796","0.09955423476968796","0.11738484398216939","0.11738484398216939","0.11738484398216939"
"16","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"20","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.1411589895988113","0.1411589895988113","0.1411589895988113"
"24","0.13670133729569092","0.13670133729569092","0.13670133729569092","0.1352154531946508","0.1352154531946508","0.1352154531946508"
"28","0.1337295690936107","0.1337295690936107","0.1337295690936107","0.1515601783060921","0.1515601783060921","0.1515601783060921"
"32","0.1515601783060921","0.1515601783060921","0.1515601783060921","0.1575037147102526","0.1575037147102526","0.1575037147102526"
"36","0.16790490341753342","0.16790490341753342","0.16790490341753342","0.13670133729569092","0.13670133729569092","0.13670133729569092"
"40","0.1575037147102526","0.1575037147102526","0.1575037147102526","0.1352154531946508","0.1352154531946508","0.1352154531946508"
"44","0.17087667161961367","0.17087667161961367","0.17087667161961367","0.1575037147102526","0.1575037147102526","0.1575037147102526"
"48","0.150074294205052","0.150074294205052","0.150074294205052","0.1411589895988113","0.1411589895988113","0.1411589895988113"
"52","0.1515601783060921","0.1515601783060921","0.1515601783060921","0.150074294205052","0.150074294205052","0.150074294205052"
"56","0.14413075780089152","0.14413075780089152","0.14413075780089152","0.14710252600297177","0.14710252600297177","0.14710252600297177"
"60","0.16344725111441308","0.16344725111441308","0.16344725111441308","0.1411589895988113","0.1411589895988113","0.1411589895988113"
"64","0.16790490341753342","0.16790490341753342","0.16790490341753342","0.15453194650817237","0.15453194650817237","0.15453194650817237"
"68","0.16939078751857356","0.16939078751857356","0.16939078751857356","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"72","0.18722139673105498","0.18722139673105498","0.18722139673105498","0.11441307578008915","0.11441307578008915","0.11441307578008915"
"76","0.17533432392273401","0.17533432392273401","0.17533432392273401","0.09806835066864784","0.09806835066864784","0.09806835066864784"
"80","0.1901931649331352","0.1901931649331352","0.1901931649331352","0.10549777117384844","0.10549777117384844","0.10549777117384844"
"84","0.16196136701337296","0.16196136701337296","0.16196136701337296","","",""
"88","0.18424962852897475","0.18424962852897475","0.18424962852897475","","",""
"92","0.1738484398216939","0.1738484398216939","0.1738484398216939","","",""
"96","0.1887072808320951","0.1887072808320951","0.1887072808320951","","",""
"100","0.1887072808320951","0.1887072808320951","0.1887072808320951","","",""
"104","0.1976225854383358","0.1976225854383358","0.1976225854383358","","",""
"108","0.20059435364041606","0.20059435364041606","0.20059435364041606","","",""
"112","0.20059435364041606","0.20059435364041606","0.20059435364041606","","",""
"116","0.19167904903417535","0.19167904903417535","0.19167904903417535","","",""
"120","0.1901931649331352","0.1901931649331352","0.1901931649331352","","",""
"124","0.20950965824665677","0.20950965824665677","0.20950965824665677","","",""
"128","0.20802377414561665","0.20802377414561665","0.20802377414561665","","",""
"132","0.20802377414561665","0.20802377414561665","0.20802377414561665","","",""
"136","0.19465081723625557","0.19465081723625557","0.19465081723625557","","",""
"140","0.19465081723625557","0.19465081723625557","0.19465081723625557","","",""
"144","0.19465081723625557","0.19465081723625557","0.19465081723625557","","",""
"148","0.22734026745913818","0.22734026745913818","0.22734026745913818","","",""
"152","0.21545319465081725","0.21545319465081725","0.21545319465081725","","",""
"156","0.20208023774145617","0.20208023774145617","0.20208023774145617","","",""
"160","0.22734026745913818","0.22734026745913818","0.22734026745913818","","",""
"164","0.22734026745913818","0.22734026745913818","0.22734026745913818","","",""
"168","0.21099554234769688","0.21099554234769688","0.21099554234769688","","",""
"172","0.20950965824665677","0.20950965824665677","0.20950965824665677","","",""
"176","0.21842496285289748","0.21842496285289748","0.21842496285289748","","",""
"180","0.2139673105497771","0.2139673105497771","0.2139673105497771","","",""
"184","0.1976225854383358","0.1976225854383358","0.1976225854383358","","",""
"188","0.20208023774145617","0.20208023774145617","0.20208023774145617","","",""
"192","0.22288261515601784","0.22288261515601784","0.22288261515601784","","",""
"196","0.2199108469539376","0.2199108469539376","0.2199108469539376","","",""
"200","0.2213967310549777","0.2213967310549777","0.2213967310549777","","",""
"204","0.2065378900445765","0.2065378900445765","0.2065378900445765","","",""
